,productID,brandID,attribute1,attribute2,attribute3,attribute4,clickVolume,avgOriginalUnitPrice,avgFinalUnitPrice,ma14SalesVolume,weekday,meanAge,gender,meanEducation,maritalStatus,plus,meanPurchasePower,meanUserLevel,meanCityLevel,sales
0,68,28,3,100,9,1.561599286,799,237.2064996,186.9569675,11.78571429,4,35.49832688,0.114400707,3.046748788,0.562922938,0.20629059,2.173473953,3.628149949,2.181481749,14
1,31,6,3,100,2,7.747684621,352,178.5405383,129.1231425,25.78571429,7,25.63347755,0,3.005766111,0,0.444094902,1.927769181,3.058834017,1.511025708,2
2,27,19,3,60,2,3.89966453,293,119.0662206,59.13619945,21.35714286,6,32.22812002,0.158910573,2.935704936,0.293093492,0.132959024,2.324771535,2.650857271,1.665037291,16
3,52,4,3,80,1,1.585428581,537,139.4525448,68.57210043,7.285714286,5,29.30431668,0.186522102,2.810752,0.242180664,0,2.192937778,2.026258597,2.48108222,13
4,3,28,3,100,14,4.623051473,6668,298.1065317,244.0477609,296.2142857,5,29.1320812,0.300183448,3.032526597,0.391278836,0.103061555,2.135293679,2.736957198,1.979199695,159
5,49,2,3,70,7,7.086741995,257,238.3969203,224.6505891,0.785714286,5,39.76700415,0.339063709,2.983963458,0,0.306700904,2.292102899,3.018771476,2.979587095,3
6,11,3,3,50,3,5.403692627,1745,65.29555942,44.39385624,32.85714286,3,29.39869505,0.225824521,3.091766696,0.462782051,0.360555771,2.341948701,2.683976163,2.277107542,73
7,31,6,3,100,4,8.28446168,954,175.8380955,127.202864,21.5,5,34.23920087,0.199472189,3.075289985,0.678771666,0.307093837,2.455607658,3.047484796,2.448858162,17
8,46,29,2,50,2,14.93749276,4073,70.3308909,36.09235955,291.0714286,3,30.11260621,0.236507759,2.99846818,0.495511101,0.132711088,2.212343387,2.532845628,2.248246524,244
9,68,28,3,100,2,2.117584854,325,239.8795838,161.1790949,3.714285714,5,34.5555141,0.586013634,3.487511392,0.978675534,0.810313419,2.373986727,3.314982901,1.012412157,5
10,44,12,3,100,8,1.956393756,17423,77.12718521,66.73077413,244.8571429,3,29.22925726,0.338015676,3.026494853,0.489686389,0.181404976,2.275117275,2.628429753,2.354160637,724
11,26,13,2,40,1,10.42711586,169,60.24052974,57.97921425,5.428571429,4,33.06541274,0.244261523,2.615320685,0.294069912,0.15397921,2.345187337,2.666639497,1.79042604,7
12,69,29,3,60,2,5.267995261,750,80.75197894,42.2114054,56.21428571,3,32.84292963,0.180119307,3.193296315,0.863019334,0.381386362,2.14614115,2.913051929,2.207081797,39
13,34,14,3,60,3,15.59178367,345,139.546905,68.5822424,20,3,30.03258533,0.0479007,3.384086684,0.322131102,0.121656224,2.173145058,2.930154621,1.982694073,11
14,54,11,2,60,9,3.166105877,1045,89.04535626,89.89002554,59.5,6,38.03806301,0.362595552,2.921845228,0.576403583,0.110616049,2.271706237,2.542910099,2.254323857,31
15,53,3,3,60,4,2.887226999,58,68.86555944,66.15795428,17.21428571,4,35.06239829,0.968119821,3.589567951,0.407146196,1.042560816,2.008059222,3.988851051,1.559246384,2
16,76,13,2,70,1,21.31957097,3358,78.3478768,60.61838552,73,4,33.07402197,0.347095373,2.748526432,0.577001528,0.195321343,2.278671538,2.067468774,2.389569486,98
17,18,30,4,80,16,3.445788917,127,190.4029833,191.2970435,0.5,5,30.34589549,0.015625307,2.971856426,0.993264069,0.021607107,2.002681814,2.072339538,1.987677868,1
18,41,15,3,100,18,40.1518762,307,79.18302059,57.1403183,7.071428571,1,34.94084943,0.416312486,2.679848938,0.28727034,0.227457826,2.358645678,2.327794008,2.284432437,11
19,44,12,3,100,6,7.465153247,1501,77.06390834,71.50482987,172.5714286,6,30.11550708,0.120852775,3.022508723,0.776198295,0.329313575,2.19112767,3.415688625,1.980083189,20
20,72,18,2,40,2,14.02794325,534,19.29189302,17.4783373,30.28571429,5,31.78450522,0.473454615,3.005165628,0.37129557,0.277095043,2.377059138,2.980625803,2.267560032,24
21,11,3,3,50,1,0.584607227,586,65.49994773,51.10659502,23.64285714,5,24.44295548,0.075007919,3.003779488,0.592095314,0.171086688,2.2746115,2.151599426,2.4996839,23
22,54,11,2,60,3,18.65200452,799,89.46087389,88.84446512,53.28571429,6,31.21230909,0.42643092,2.670771128,0.678055607,0.012943548,2.421537795,2.086805514,3.008639047,19
23,69,29,3,60,2,10.59593409,885,80.25132612,42.20948985,30.42857143,5,35.57464862,0.164367659,3.476186058,0.876739209,0.45253725,2.197171073,3.383156138,2.287554845,38
24,19,24,3,60,4,19.48061293,87,140.7339054,80.22467251,1.214285714,7,36.56624411,0.478898543,2.351640648,0.729480363,0,2.368404209,1.730866574,2.506640992,4
25,77,38,3,100,3,0.438945668,309,179.7635336,144.3792494,4,4,28.08011407,0.252984127,3.327574231,0.622151874,0.285712291,2.042286346,2.947282308,1.990670631,6
26,27,19,3,60,3,35.97754107,216,118.9344437,97.70229543,12.92857143,7,27.14546807,0.022505294,2.712287755,0.69132709,0.220794208,2.006366105,2.312025921,2.480019135,5
27,34,14,3,60,5,20.71038428,138,139.2056308,113.0281685,1.285714286,5,28.56453357,0.257228275,2.815303003,0.394231816,0.376883796,2.408542976,1.747982347,2.726000471,6
28,20,6,3,100,2,3.558779288,749,59.7743817,53.31985385,24.64285714,3,32.02733881,0.391184673,3.150350033,0.593486785,0.377248449,2.253537028,3.219955012,1.877198387,31
29,34,14,3,60,5,9.937172379,107,138.8977936,87.69857159,6.857142857,2,30.43765663,0,3.993551234,0.999783846,0.936685505,1.962236178,3.957159902,1.876879667,1
30,47,30,4,100,8,2.221629051,75,190.2586545,146.5468038,1.357142857,3,30.46284478,0,3.941049122,0.93810311,0.9363456,2.029480754,3.980386371,2.049294419,1
31,11,3,3,50,9,24.07095896,752,65.46948804,43.64275994,35.92857143,4,28.26788493,0.27016683,3.050124689,0.599909265,0.174510331,2.600344794,3.349474642,2.258613327,31
32,0,40,4,100,2,3.126132211,77,57.77733994,29.71839828,3.5,7,29.64243936,0.960429743,3.990710218,0,1.013402498,2.963878772,4.037741392,3.050641165,1
33,50,9,3,50,1,1.694853359,693,250.7655209,249.8246389,7.5,5,31.88901628,0,2.604835841,0.623122809,0,2.341740472,2.596110024,1.474716792,5
34,53,3,3,60,2,1.216553861,370,69.02130904,56.57499424,6.357142857,4,31.75685741,0.250135063,3.118776773,0.253172797,0.149268158,2.22679644,2.689155588,2.134163331,18
35,79,42,3,60,4,30.21924807,659,79.78037163,79.37698235,3.071428571,1,29.89564548,0.284207164,2.339066498,0.480085518,0,2.620940041,1.914081031,2.836346046,10
36,13,41,4,100,6,15.37193892,493,188.8502792,149.1503274,5.428571429,2,40.69193705,0,4.027521982,1.035130141,0.992373356,1.972855171,4.040531869,0.989015391,1
